Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2022,Remaining,APR,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,44
2022,Remaining,APR,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,30
2022,Remaining,APR,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,34
2022,Remaining,APR,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,465
2022,Remaining,APR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,313
2022,Remaining,APR,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,1110
2022,Remaining,APR,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,1227
2022,Remaining,APR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,14937
2022,Remaining,APR,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,29
2022,Remaining,APR,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,105
2022,Remaining,APR,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,22
2022,Remaining,APR,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,93
2022,Remaining,APR,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,9
2022,Remaining,APR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,340
2022,Remaining,APR,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1865
2022,Remaining,APR,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2268
2022,Remaining,APR,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,120
2022,Remaining,APR,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,8781
2022,Remaining,APR,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,8
2022,Remaining,APR,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,29
2022,Remaining,APR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,11
2022,Remaining,APR,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,148
2022,Remaining,APR,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,116
2022,Remaining,APR,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,624
2022,Remaining,APR,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,956
2022,Remaining,APR,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,1569
2022,Remaining,APR,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,290
2022,Remaining,APR,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,2441
2022,Remaining,APR,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,803
2022,Remaining,APR,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1774
2022,Remaining,APR,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,244
2022,Remaining,APR,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,1184
2022,Remaining,APR,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,27197
2022,Remaining,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,4351
2022,Remaining,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,533
2022,Remaining,APR,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,10700
2022,Remaining,APR,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2192
2022,Remaining,APR,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,6160
2022,Remaining,APR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,2246
2022,Remaining,APR,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,67024
2022,Remaining,APR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,5257
2022,Remaining,APR,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,2497
2022,Remaining,APR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,53605
2022,Remaining,APR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1275
2022,Remaining,APR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,4702
2022,Remaining,APR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2611
2022,Remaining,APR,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2552
2022,Remaining,APR,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,717
2022,Remaining,AUG,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,2
2022,Remaining,AUG,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1
2022,Remaining,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,2
2022,Remaining,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1
2022,Remaining,AUG,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,18
2022,Remaining,AUG,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,2
2022,Remaining,AUG,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,185
2022,Remaining,AUG,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,67
2022,Remaining,AUG,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,11
2022,Remaining,AUG,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,6
2022,Remaining,AUG,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,423
2022,Remaining,AUG,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,432
2022,Remaining,AUG,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,2393
2022,Remaining,AUG,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,3424
2022,Remaining,AUG,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,5796
2022,Remaining,AUG,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,9
2022,Remaining,AUG,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,179
2022,Remaining,AUG,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,33
2022,Remaining,AUG,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,92
2022,Remaining,AUG,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,41
2022,Remaining,AUG,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,519
2022,Remaining,AUG,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1654
2022,Remaining,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2801
2022,Remaining,AUG,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,75
2022,Remaining,AUG,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,3799
2022,Remaining,AUG,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,13
2022,Remaining,AUG,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,29
2022,Remaining,AUG,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,28
2022,Remaining,AUG,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,243
2022,Remaining,AUG,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,35
2022,Remaining,AUG,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,468
2022,Remaining,AUG,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,766
2022,Remaining,AUG,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,1196
2022,Remaining,AUG,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,304
2022,Remaining,AUG,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,1863
2022,Remaining,AUG,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,631
2022,Remaining,AUG,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1653
2022,Remaining,AUG,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,269
2022,Remaining,AUG,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,1342
2022,Remaining,AUG,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,30813
2022,Remaining,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,3287
2022,Remaining,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,389
2022,Remaining,AUG,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,8767
2022,Remaining,AUG,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,509
2022,Remaining,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,7389
2022,Remaining,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,651
2022,Remaining,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,44479
2022,Remaining,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,4046
2022,Remaining,AUG,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,2234
2022,Remaining,AUG,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,59725
2022,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1138
2022,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,1
2022,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,4315
2022,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2684
