Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2019,FYTD,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0.0
2019,FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,9584.0
2021,FYTD,SEP,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1108.0
2021,FYTD,SEP,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,14.0
2019,FYTD,JUN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,87.0
2019,FYTD,OCT,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,121.0
2019,FYTD,SEP,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,1693.0
2021,FYTD,AUG,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1580.0
2020,FYTD,MAY,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8.0
2019,FYTD,FEB,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,71.0
2020,FYTD,MAY,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,7.0
2019,FYTD,JUN,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,9.0
2019,FYTD,JUL,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,49.0
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,221.0
2019,FYTD,NOV,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3175.0
2019,FYTD,AUG,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,30.0
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,98.0
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2532.0
2020,FYTD,APR,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,264.0
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,53.0
2021,FYTD,MAR,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,327.0
2020,FYTD,MAR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,265.0
2021,FYTD,MAR,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,9769.0
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,1972.0
2019,FYTD,SEP,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1089.0
2019,FYTD,JAN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,1870.0
2019,FYTD,NOV,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,12306.0
2020,FYTD,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,2.0
2021,FYTD,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,180.0
2019,FYTD,MAR,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,21.0
2019,FYTD,OCT,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2631.0
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,3.0
2021,FYTD,APR,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1979.0
2019,FYTD,SEP,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,2177.0
2021,FYTD,MAR,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,31.0
2021,FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,412.0
2020,FYTD,MAR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,15.0
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,39.0
2019,FYTD,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3075.0
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,5.0
2019,FYTD,NOV,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2.0
2021,FYTD,MAR,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,6790.0
2019,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8845.0
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,21512.0
2021,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2365.0
2019,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,565.0
2021,FYTD,SEP,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,3071.0
2021,FYTD,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1343.0
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,211.0
2021,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,943.0
2019,FYTD,MAR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,348.0
2020,FYTD,JUN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,1.0
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,20.0
2020,FYTD,APR,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,12.0
2020,FYTD,SEP,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,256.0
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,211.0
2019,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,1028.0
2019,FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,3463.0
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,33.0
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,56.0
2021,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,19.0
2020,FYTD,MAY,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,15.0
2021,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,28.0
2020,FYTD,MAY,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,1.0
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,40.0
2019,FYTD,DEC,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,452.0
2020,FYTD,SEP,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,10.0
2019,FYTD,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1.0
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,4.0
2019,FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2730.0
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,4.0
2021,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,3801.0
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1065.0
2021,FYTD,SEP,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,13.0
2019,FYTD,AUG,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2392.0
2021,FYTD,MAR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,302.0
2021,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1023.0
2019,FYTD,MAY,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,153.0
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,1547.0
2020,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,31.0
2021,FYTD,AUG,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,57.0
2021,FYTD,MAR,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,13.0
2020,FYTD,MAY,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,205.0
2021,FYTD,AUG,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,304.0
2021,FYTD,AUG,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2.0
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,11558.0
2020,FYTD,SEP,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,76.0
2019,FYTD,FEB,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2.0
2019,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,1052.0
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1042.0
2021,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,347.0
2020,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,10.0
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,192.0
2020,FYTD,MAR,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,411.0
2019,FYTD,MAY,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,11.0
2021,FYTD,SEP,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,2139.0
2021,FYTD,DEC,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,91.0
2019,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,734.0
2021,FYTD,NOV,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1181.0
2020,FYTD,JUN,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0.0
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,84.0
2019,FYTD,AUG,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,2.0
2020,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,5.0
2019,FYTD,OCT,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,99.0
2019,FYTD,SEP,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,2.0
2021,FYTD,JUN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,192.0
2019,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,2492.0
2019,FYTD,NOV,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,137.0
2021,FYTD,SEP,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,23.0
2021,FYTD,OCT,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,4.0
2021,FYTD,MAR,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,14709.0
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,64.0
2019,FYTD,APR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,52.0
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,2326.0
2021,FYTD,JAN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,6.0
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1457.0
2020,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,763.0
2021,FYTD,APR,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,3.0
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,26029.0
2021,FYTD,MAR,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,13491.0
2019,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,592.0
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,64.0
2019,FYTD,MAR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2437.0
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,736.0
2021,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,1139.0
2021,FYTD,MAR,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,7.0
2021,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,4432.0
2019,FYTD,JUN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2764.0
2021,FYTD,JUL,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,12363.0
2021,FYTD,MAR,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,10211.0
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,32367.0
2021,FYTD,APR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,12462.0
2019,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,81.0
2019,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1545.0
2021,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,287.0
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1081.0
2020,FYTD,MAY,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,16.0
2020,FYTD,OCT,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,39.0
2021,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,3880.0
2020,FYTD,MAR,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,667.0
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,403.0
2019,FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,10113.0
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1150.0
2021,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,5310.0
2020,FYTD,SEP,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,11.0
2019,FYTD,JUL,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0.0
2021,FYTD,AUG,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,8102.0
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,52.0
2020,FYTD,MAR,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,6.0
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,29607.0
2020,FYTD,MAY,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,0.0
2020,FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,851.0
2019,FYTD,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,2289.0
2021,FYTD,NOV,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,6.0
2021,FYTD,FEB,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,3.0
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,1100.0
2020,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,16.0
2021,FYTD,JUN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2346.0
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,116.0
2021,FYTD,MAY,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,586.0
2021,FYTD,SEP,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,7.0
2021,FYTD,MAR,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,12.0
2021,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,1141.0
2020,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,145.0
2021,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,4187.0
2019,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,345.0
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2260.0
2019,FYTD,JUL,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2797.0
2020,FYTD,NOV,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,1112.0
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,1521.0
2020,FYTD,MAR,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,243.0
2021,FYTD,JUN,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,5018.0
2021,FYTD,MAY,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,19.0
2019,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1020.0
2020,FYTD,JUL,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,1.0
2020,FYTD,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,26.0
2020,FYTD,SEP,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,55.0
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,597.0
2019,FYTD,MAR,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,249.0
2019,FYTD,SEP,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,11.0
2019,FYTD,OCT,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,252.0
2019,FYTD,APR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,1185.0
2019,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2439.0
2021,FYTD,DEC,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,2.0
2020,FYTD,SEP,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,62.0
2019,FYTD,JAN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1735.0
2019,FYTD,OCT,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0.0
2019,FYTD,APR,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1.0
2020,FYTD,JUN,Office of Field Operations,UC / Single Minors,Honduras,Title 42,Expulsions,3.0
2019,FYTD,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1516.0
2019,FYTD,MAR,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,2.0
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,1593.0
2021,FYTD,APR,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,237.0
2020,FYTD,JUN,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0.0
2021,FYTD,APR,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,28.0
2019,FYTD,FEB,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,1895.0
2020,FYTD,JUN,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1138.0
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0.0
2020,FYTD,NOV,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,1852.0
2021,FYTD,MAR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,8584.0
2020,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,33.0
2019,FYTD,JUL,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2791.0
2021,FYTD,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,208.0
2020,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,270.0
2020,FYTD,MAR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,38.0
2019,FYTD,OCT,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,3.0
2019,FYTD,SEP,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,38.0
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,512.0
2019,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1023.0
2021,FYTD,MAR,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,10583.0
2021,FYTD,JUN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,654.0
2019,FYTD,JUL,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,489.0
2021,FYTD,APR,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,12.0
2019,FYTD,MAR,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,168.0
2020,FYTD,SEP,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,39.0
2019,FYTD,JUN,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0.0
2021,FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,42.0
2021,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,108.0
2021,FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1.0
2020,FYTD,SEP,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,524.0
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,1790.0
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,963.0
2021,FYTD,JUN,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1.0
2021,FYTD,AUG,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,150.0
2021,FYTD,AUG,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1532.0
2019,FYTD,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,34164.0
2021,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,18.0
2021,FYTD,JUN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,380.0
2020,FYTD,MAR,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,25.0
2020,FYTD,SEP,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,184.0
2020,FYTD,OCT,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1153.0
2020,FYTD,AUG,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,44.0
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Guatemala,Title 42,Expulsions,2.0
2021,FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,10.0
2019,FYTD,JUL,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2822.0
2020,FYTD,OCT,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,159.0
2021,FYTD,JUN,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,13118.0
2020,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1.0
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,11.0
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,113.0
2021,FYTD,JAN,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,124.0
2020,FYTD,MAY,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,347.0
2021,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,22.0
2021,FYTD,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,4.0
2019,FYTD,JUN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,33.0
2020,FYTD,APR,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,9.0
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,4331.0
2020,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,150.0
2021,FYTD,APR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1972.0
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,11.0
2021,FYTD,NOV,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,2.0
2020,FYTD,MAY,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,0.0
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,257.0
2020,FYTD,MAR,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,1.0
2021,FYTD,JUL,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1370.0
2020,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,33.0
2021,FYTD,APR,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1.0
2019,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,435.0
2021,FYTD,MAY,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,1637.0
2021,FYTD,APR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,406.0
2021,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1800.0
2019,FYTD,NOV,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,20.0
2021,FYTD,SEP,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,3.0
2019,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,132.0
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,4009.0
2021,FYTD,JUN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1200.0
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,22.0
2020,FYTD,SEP,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,36.0
2021,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1658.0
2019,FYTD,JUL,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,25.0
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,42.0
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,120.0
2021,FYTD,JUN,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,20.0
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,8135.0
2021,FYTD,AUG,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,14.0
2020,FYTD,JAN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,432.0
