Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,5890.0
2021,FYTD,JAN,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,3.0
2019,FYTD,JUN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,5013.0
2021,FYTD,AUG,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,24.0
2020,FYTD,APR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,4.0
2021,FYTD,JUN,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,14949.0
2020,FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2179.0
2020,FYTD,MAY,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,753.0
2021,FYTD,MAR,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,4565.0
2020,FYTD,NOV,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1491.0
2019,FYTD,JUL,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1791.0
2021,FYTD,JUN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,168.0
2019,FYTD,MAY,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,188.0
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,60.0
2020,FYTD,MAR,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,1951.0
2020,FYTD,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,916.0
2019,FYTD,JAN,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,83.0
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,295.0
2021,FYTD,MAY,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,92.0
2019,FYTD,JUL,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,6899.0
2021,FYTD,AUG,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,10057.0
2021,FYTD,JUL,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,26.0
2020,FYTD,FEB,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2046.0
2019,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1364.0
2021,FYTD,MAY,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,485.0
2020,FYTD,NOV,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,34.0
2021,FYTD,SEP,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,147.0
2020,FYTD,APR,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,12.0
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,63.0
2019,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1111.0
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,9702.0
2019,FYTD,DEC,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1951.0
2020,FYTD,OCT,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,914.0
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2245.0
2020,FYTD,APR,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,13.0
2019,FYTD,JUN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,542.0
2019,FYTD,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1311.0
2020,FYTD,OCT,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2315.0
2019,FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1697.0
2020,FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,1553.0
2020,FYTD,JAN,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,34.0
2019,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,1034.0
2021,FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,1138.0
2019,FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,118.0
2021,FYTD,JUN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,116.0
2021,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2070.0
2021,FYTD,MAY,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,17831.0
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,1.0
2020,FYTD,MAY,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,15.0
2020,FYTD,JUN,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,104.0
2020,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,12.0
2019,FYTD,DEC,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,0.0
2021,FYTD,SEP,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,30948.0
2020,FYTD,MAR,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,27.0
