Fiscal Year,Month Grouping,Month (abbv),Land Border Region,State,Demographic,Citizenship,Title of Authority,Encounter Count
2021,FYTD,OCT,Northern Land Border,ID,Single Adults,EL SALVADOR,Title 8,1
2021,FYTD,OCT,Northern Land Border,ID,Single Adults,OTHER,Title 8,1
2021,FYTD,OCT,Northern Land Border,ME,Accompanied Minors,CANADA,Title 42,4
2021,FYTD,OCT,Northern Land Border,ME,Accompanied Minors,OTHER,Title 42,2
2021,FYTD,OCT,Northern Land Border,ME,Accompanied Minors,PHILIPPINES,Title 42,2
2021,FYTD,OCT,Northern Land Border,ME,FMUA,CANADA,Title 8,4
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,BRAZIL,Title 8,4
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,CANADA,Title 42,15
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,CANADA,Title 8,690
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,INDIA,Title 42,2
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,OTHER,Title 42,14
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,OTHER,Title 8,4
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,PHILIPPINES,Title 42,3
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,PHILIPPINES,Title 8,6
2021,FYTD,OCT,Northern Land Border,ME,UC / Single Minors,BRAZIL,Title 8,2
2021,FYTD,OCT,Northern Land Border,ME,UC / Single Minors,OTHER,Title 42,1
2021,FYTD,OCT,Northern Land Border,MI,Accompanied Minors,CANADA,Title 42,1
2021,FYTD,OCT,Northern Land Border,MI,Accompanied Minors,"CHINA, PEOPLES REPUBLIC OF",Title 42,1
2021,FYTD,OCT,Northern Land Border,MI,FMUA,CANADA,Title 8,11
2021,FYTD,OCT,Northern Land Border,MI,FMUA,"CHINA, PEOPLES REPUBLIC OF",Title 8,1
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,CANADA,Title 42,18
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,CANADA,Title 8,94
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 42,2
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,1
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,EL SALVADOR,Title 8,1
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,HONDURAS,Title 8,2
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,INDIA,Title 8,12
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,MEXICO,Title 8,4
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,OTHER,Title 42,5
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,OTHER,Title 8,17
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,PHILIPPINES,Title 42,1
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,PHILIPPINES,Title 8,8
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,ROMANIA,Title 8,3
2021,FYTD,OCT,Northern Land Border,MI,UC / Single Minors,CANADA,Title 42,2
2021,FYTD,OCT,Northern Land Border,MI,UC / Single Minors,CANADA,Title 8,1
2021,FYTD,OCT,Northern Land Border,MN,Single Adults,OTHER,Title 8,1
2021,FYTD,OCT,Northern Land Border,MT,Accompanied Minors,CANADA,Title 42,1
2021,FYTD,OCT,Northern Land Border,MT,Accompanied Minors,MEXICO,Title 42,1
2021,FYTD,OCT,Northern Land Border,MT,Accompanied Minors,OTHER,Title 42,1
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,CANADA,Title 42,2
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,CANADA,Title 8,13
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 42,2
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,INDIA,Title 42,17
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,INDIA,Title 8,1
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,MEXICO,Title 42,1
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,OTHER,Title 42,11
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,PHILIPPINES,Title 42,1
2021,FYTD,OCT,Northern Land Border,ND,Accompanied Minors,OTHER,Title 42,3
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,CANADA,Title 42,2
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,CANADA,Title 8,5
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 42,1
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,INDIA,Title 42,8
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,INDIA,Title 8,1
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,MEXICO,Title 42,1
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,OTHER,Title 42,6
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,OTHER,Title 8,1
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,PHILIPPINES,Title 42,1
2021,FYTD,OCT,Northern Land Border,NY,Accompanied Minors,CANADA,Title 42,3
2021,FYTD,OCT,Northern Land Border,NY,Accompanied Minors,INDIA,Title 42,1
2021,FYTD,OCT,Northern Land Border,NY,Accompanied Minors,OTHER,Title 42,4
2021,FYTD,OCT,Northern Land Border,NY,Accompanied Minors,OTHER,Title 8,1
2021,FYTD,OCT,Northern Land Border,NY,FMUA,CANADA,Title 8,6
2021,FYTD,OCT,Northern Land Border,NY,FMUA,HAITI,Title 8,3
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,BRAZIL,Title 42,2
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,BRAZIL,Title 8,1
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,CANADA,Title 42,27
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,CANADA,Title 8,189
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 42,22
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,2
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,COLOMBIA,Title 42,8
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,COLOMBIA,Title 8,2
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,CUBA,Title 42,1
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,CUBA,Title 8,1
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,ECUADOR,Title 8,1
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,EL SALVADOR,Title 8,2
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,GUATEMALA,Title 42,2
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,GUATEMALA,Title 8,10
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,HAITI,Title 42,7
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,HAITI,Title 8,2
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,HONDURAS,Title 8,5
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,INDIA,Title 42,63
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,INDIA,Title 8,5
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,MEXICO,Title 42,19
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,MEXICO,Title 8,8
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,MYANMAR (BURMA),Title 42,3
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,NICARAGUA,Title 8,1
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,OTHER,Title 42,398
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,OTHER,Title 8,38
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,PHILIPPINES,Title 42,10
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,PHILIPPINES,Title 8,4
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,RUSSIA,Title 8,1
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,TURKEY,Title 8,3
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,UKRAINE,Title 8,1
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,VENEZUELA,Title 8,1
2021,FYTD,OCT,Northern Land Border,NY,UC / Single Minors,CANADA,Title 42,3
2021,FYTD,OCT,Northern Land Border,PA,Single Adults,MEXICO,Title 8,2
2021,FYTD,OCT,Northern Land Border,PA,UC / Single Minors,ECUADOR,Title 8,1
2021,FYTD,OCT,Northern Land Border,PA,UC / Single Minors,MEXICO,Title 8,1
2021,FYTD,OCT,Northern Land Border,VT,Accompanied Minors,BRAZIL,Title 42,5
2021,FYTD,OCT,Northern Land Border,VT,Accompanied Minors,CANADA,Title 8,1
2021,FYTD,OCT,Northern Land Border,VT,Accompanied Minors,OTHER,Title 42,9
2021,FYTD,OCT,Northern Land Border,VT,Single Adults,BRAZIL,Title 42,8
2021,FYTD,OCT,Northern Land Border,VT,Single Adults,CANADA,Title 42,5
2021,FYTD,OCT,Northern Land Border,VT,Single Adults,CANADA,Title 8,371
2021,FYTD,OCT,Northern Land Border,VT,Single Adults,EL SALVADOR,Title 8,1
2021,FYTD,OCT,Northern Land Border,VT,Single Adults,GUATEMALA,Title 42,5
2021,FYTD,OCT,Northern Land Border,VT,Single Adults,GUATEMALA,Title 8,2
2021,FYTD,OCT,Northern Land Border,VT,Single Adults,HONDURAS,Title 8,1
2021,FYTD,OCT,Northern Land Border,VT,Single Adults,OTHER,Title 42,39
2021,FYTD,OCT,Northern Land Border,VT,Single Adults,OTHER,Title 8,9
2021,FYTD,OCT,Northern Land Border,WA,Accompanied Minors,"CHINA, PEOPLES REPUBLIC OF",Title 42,4
2021,FYTD,OCT,Northern Land Border,WA,Accompanied Minors,INDIA,Title 42,2
2021,FYTD,OCT,Northern Land Border,WA,Accompanied Minors,MEXICO,Title 42,1
2021,FYTD,OCT,Northern Land Border,WA,FMUA,COLOMBIA,Title 8,3
2021,FYTD,OCT,Northern Land Border,WA,FMUA,GUATEMALA,Title 8,3
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,BRAZIL,Title 42,2
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,CANADA,Title 42,24
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,CANADA,Title 8,166
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 42,16
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,2
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,COLOMBIA,Title 42,2
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,COLOMBIA,Title 8,1
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,GUATEMALA,Title 42,3
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,INDIA,Title 42,32
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,INDIA,Title 8,2
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,MEXICO,Title 42,8
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,MEXICO,Title 8,3
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,OTHER,Title 42,26
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,OTHER,Title 8,8
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,PHILIPPINES,Title 42,4
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,PHILIPPINES,Title 8,2
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,ROMANIA,Title 42,1
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,ROMANIA,Title 8,1
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,RUSSIA,Title 42,1
2021,FYTD,OCT,Northern Land Border,WA,Single Adults,TURKEY,Title 42,2
2021,FYTD,OCT,Other,AK,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,20
2021,FYTD,OCT,Other,AK,Single Adults,INDIA,Title 8,10
2021,FYTD,OCT,Other,AK,Single Adults,MYANMAR (BURMA),Title 8,21
2021,FYTD,OCT,Other,AK,Single Adults,OTHER,Title 8,21
2021,FYTD,OCT,Other,AK,Single Adults,PHILIPPINES,Title 8,56
2021,FYTD,OCT,Other,AK,Single Adults,ROMANIA,Title 8,3
2021,FYTD,OCT,Other,AK,Single Adults,RUSSIA,Title 8,21
2021,FYTD,OCT,Other,AK,Single Adults,TURKEY,Title 8,2
2021,FYTD,OCT,Other,AK,Single Adults,UKRAINE,Title 8,6
2021,FYTD,OCT,Other,AL,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,138
2021,FYTD,OCT,Other,AL,Single Adults,INDIA,Title 8,8
2021,FYTD,OCT,Other,AL,Single Adults,MEXICO,Title 8,1
2021,FYTD,OCT,Other,AL,Single Adults,MYANMAR (BURMA),Title 8,48
2021,FYTD,OCT,Other,AL,Single Adults,OTHER,Title 8,14
2021,FYTD,OCT,Other,AL,Single Adults,PHILIPPINES,Title 8,96
2021,FYTD,OCT,Other,AL,Single Adults,ROMANIA,Title 8,1
2021,FYTD,OCT,Other,AL,Single Adults,RUSSIA,Title 8,7
2021,FYTD,OCT,Other,AL,Single Adults,UKRAINE,Title 8,18
2021,FYTD,OCT,Other,AZ,Single Adults,MEXICO,Title 8,15
2021,FYTD,OCT,Other,AZ,Single Adults,OTHER,Title 8,1
2021,FYTD,OCT,Other,CA,FMUA,"CHINA, PEOPLES REPUBLIC OF",Title 8,2
2021,FYTD,OCT,Other,CA,FMUA,COLOMBIA,Title 8,2
2021,FYTD,OCT,Other,CA,FMUA,MEXICO,Title 8,15
2021,FYTD,OCT,Other,CA,Single Adults,BRAZIL,Title 8,5
2021,FYTD,OCT,Other,CA,Single Adults,CANADA,Title 8,3
2021,FYTD,OCT,Other,CA,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,176
2021,FYTD,OCT,Other,CA,Single Adults,COLOMBIA,Title 8,23
2021,FYTD,OCT,Other,CA,Single Adults,EL SALVADOR,Title 8,19
2021,FYTD,OCT,Other,CA,Single Adults,GUATEMALA,Title 8,20
2021,FYTD,OCT,Other,CA,Single Adults,HONDURAS,Title 8,3
2021,FYTD,OCT,Other,CA,Single Adults,INDIA,Title 8,99
2021,FYTD,OCT,Other,CA,Single Adults,MEXICO,Title 8,463
2021,FYTD,OCT,Other,CA,Single Adults,MYANMAR (BURMA),Title 8,11
2021,FYTD,OCT,Other,CA,Single Adults,NICARAGUA,Title 8,2
2021,FYTD,OCT,Other,CA,Single Adults,OTHER,Title 8,273
2021,FYTD,OCT,Other,CA,Single Adults,PERU,Title 8,2
2021,FYTD,OCT,Other,CA,Single Adults,PHILIPPINES,Title 8,302
2021,FYTD,OCT,Other,CA,Single Adults,ROMANIA,Title 8,5
2021,FYTD,OCT,Other,CA,Single Adults,RUSSIA,Title 8,36
2021,FYTD,OCT,Other,CA,Single Adults,TURKEY,Title 8,3
2021,FYTD,OCT,Other,CA,Single Adults,UKRAINE,Title 8,58
2021,FYTD,OCT,Other,CA,Single Adults,VENEZUELA,Title 8,1
2021,FYTD,OCT,Other,CO,Single Adults,GUATEMALA,Title 8,1
2021,FYTD,OCT,Other,CO,Single Adults,MEXICO,Title 8,15
2021,FYTD,OCT,Other,CT,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,1
2021,FYTD,OCT,Other,CT,Single Adults,PHILIPPINES,Title 8,19
2021,FYTD,OCT,Other,CT,Single Adults,UKRAINE,Title 8,1
2021,FYTD,OCT,Other,DC,FMUA,CANADA,Title 8,16
2021,FYTD,OCT,Other,DC,FMUA,OTHER,Title 8,16
2021,FYTD,OCT,Other,DC,Single Adults,BRAZIL,Title 8,2
2021,FYTD,OCT,Other,DC,Single Adults,CANADA,Title 8,500
2021,FYTD,OCT,Other,DC,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,3
2021,FYTD,OCT,Other,DC,Single Adults,COLOMBIA,Title 8,6
2021,FYTD,OCT,Other,DC,Single Adults,CUBA,Title 8,1
2021,FYTD,OCT,Other,DC,Single Adults,EL SALVADOR,Title 8,1
2021,FYTD,OCT,Other,DC,Single Adults,GUATEMALA,Title 8,4
2021,FYTD,OCT,Other,DC,Single Adults,HAITI,Title 8,4
2021,FYTD,OCT,Other,DC,Single Adults,HONDURAS,Title 8,1
2021,FYTD,OCT,Other,DC,Single Adults,INDIA,Title 8,8
2021,FYTD,OCT,Other,DC,Single Adults,MEXICO,Title 8,7
2021,FYTD,OCT,Other,DC,Single Adults,OTHER,Title 8,239
2021,FYTD,OCT,Other,DC,Single Adults,PHILIPPINES,Title 8,1
2021,FYTD,OCT,Other,DC,Single Adults,ROMANIA,Title 8,1
2021,FYTD,OCT,Other,DC,Single Adults,TURKEY,Title 8,1
2021,FYTD,OCT,Other,DC,Single Adults,UKRAINE,Title 8,1
2021,FYTD,OCT,Other,DC,UC / Single Minors,CANADA,Title 8,9
2021,FYTD,OCT,Other,DC,UC / Single Minors,OTHER,Title 8,10
2021,FYTD,OCT,Other,DE,Single Adults,INDIA,Title 8,11
2021,FYTD,OCT,Other,DE,Single Adults,MYANMAR (BURMA),Title 8,1
2021,FYTD,OCT,Other,DE,Single Adults,OTHER,Title 8,15
2021,FYTD,OCT,Other,DE,Single Adults,PERU,Title 8,1
2021,FYTD,OCT,Other,DE,Single Adults,PHILIPPINES,Title 8,77
2021,FYTD,OCT,Other,DE,Single Adults,RUSSIA,Title 8,5
2021,FYTD,OCT,Other,DE,Single Adults,UKRAINE,Title 8,19
2021,FYTD,OCT,Other,FL,FMUA,BRAZIL,Title 8,2
2021,FYTD,OCT,Other,FL,FMUA,EL SALVADOR,Title 8,3
2021,FYTD,OCT,Other,FL,FMUA,OTHER,Title 8,9
2021,FYTD,OCT,Other,FL,FMUA,VENEZUELA,Title 8,5
2021,FYTD,OCT,Other,FL,Single Adults,BRAZIL,Title 8,30
2021,FYTD,OCT,Other,FL,Single Adults,CANADA,Title 8,2
2021,FYTD,OCT,Other,FL,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,96
2021,FYTD,OCT,Other,FL,Single Adults,COLOMBIA,Title 8,161
2021,FYTD,OCT,Other,FL,Single Adults,CUBA,Title 8,6
2021,FYTD,OCT,Other,FL,Single Adults,ECUADOR,Title 8,58
2021,FYTD,OCT,Other,FL,Single Adults,EL SALVADOR,Title 8,53
2021,FYTD,OCT,Other,FL,Single Adults,GUATEMALA,Title 8,24
2021,FYTD,OCT,Other,FL,Single Adults,HAITI,Title 8,49
2021,FYTD,OCT,Other,FL,Single Adults,HONDURAS,Title 8,65
2021,FYTD,OCT,Other,FL,Single Adults,INDIA,Title 8,30
2021,FYTD,OCT,Other,FL,Single Adults,MEXICO,Title 8,52
2021,FYTD,OCT,Other,FL,Single Adults,MYANMAR (BURMA),Title 8,21
2021,FYTD,OCT,Other,FL,Single Adults,NICARAGUA,Title 8,39
2021,FYTD,OCT,Other,FL,Single Adults,OTHER,Title 8,380
2021,FYTD,OCT,Other,FL,Single Adults,PERU,Title 8,14
2021,FYTD,OCT,Other,FL,Single Adults,PHILIPPINES,Title 8,283
2021,FYTD,OCT,Other,FL,Single Adults,ROMANIA,Title 8,3
2021,FYTD,OCT,Other,FL,Single Adults,RUSSIA,Title 8,35
2021,FYTD,OCT,Other,FL,Single Adults,TURKEY,Title 8,4
2021,FYTD,OCT,Other,FL,Single Adults,UKRAINE,Title 8,55
2021,FYTD,OCT,Other,FL,Single Adults,VENEZUELA,Title 8,59
2021,FYTD,OCT,Other,FL,UC / Single Minors,BRAZIL,Title 8,6
2021,FYTD,OCT,Other,FL,UC / Single Minors,ECUADOR,Title 8,1
2021,FYTD,OCT,Other,FL,UC / Single Minors,OTHER,Title 8,3
2021,FYTD,OCT,Other,FL,UC / Single Minors,RUSSIA,Title 8,1
2021,FYTD,OCT,Other,GA,FMUA,MEXICO,Title 8,5
2021,FYTD,OCT,Other,GA,Single Adults,CANADA,Title 8,1
2021,FYTD,OCT,Other,GA,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,53
2021,FYTD,OCT,Other,GA,Single Adults,COLOMBIA,Title 8,39
2021,FYTD,OCT,Other,GA,Single Adults,CUBA,Title 8,1
2021,FYTD,OCT,Other,GA,Single Adults,EL SALVADOR,Title 8,2
2021,FYTD,OCT,Other,GA,Single Adults,GUATEMALA,Title 8,13
2021,FYTD,OCT,Other,GA,Single Adults,HONDURAS,Title 8,4
2021,FYTD,OCT,Other,GA,Single Adults,INDIA,Title 8,19
2021,FYTD,OCT,Other,GA,Single Adults,MEXICO,Title 8,108
2021,FYTD,OCT,Other,GA,Single Adults,MYANMAR (BURMA),Title 8,1
2021,FYTD,OCT,Other,GA,Single Adults,OTHER,Title 8,73
2021,FYTD,OCT,Other,GA,Single Adults,PHILIPPINES,Title 8,22
2021,FYTD,OCT,Other,GA,Single Adults,ROMANIA,Title 8,1
2021,FYTD,OCT,Other,GA,Single Adults,RUSSIA,Title 8,2
2021,FYTD,OCT,Other,GA,Single Adults,UKRAINE,Title 8,8
2021,FYTD,OCT,Other,GA,Single Adults,VENEZUELA,Title 8,5
2021,FYTD,OCT,Other,GA,UC / Single Minors,MEXICO,Title 8,2
2021,FYTD,OCT,Other,GU,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,1
2021,FYTD,OCT,Other,GU,Single Adults,MEXICO,Title 8,1
2021,FYTD,OCT,Other,HI,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,1
2021,FYTD,OCT,Other,HI,Single Adults,INDIA,Title 8,2
2021,FYTD,OCT,Other,HI,Single Adults,OTHER,Title 8,21
2021,FYTD,OCT,Other,HI,Single Adults,PHILIPPINES,Title 8,33
2021,FYTD,OCT,Other,HI,Single Adults,RUSSIA,Title 8,10
2021,FYTD,OCT,Other,IL,FMUA,COLOMBIA,Title 8,2
2021,FYTD,OCT,Other,IL,FMUA,INDIA,Title 8,8
2021,FYTD,OCT,Other,IL,FMUA,MEXICO,Title 8,34
2021,FYTD,OCT,Other,IL,FMUA,OTHER,Title 8,4
2021,FYTD,OCT,Other,IL,Single Adults,BRAZIL,Title 8,1
2021,FYTD,OCT,Other,IL,Single Adults,COLOMBIA,Title 8,3
2021,FYTD,OCT,Other,IL,Single Adults,INDIA,Title 8,28
2021,FYTD,OCT,Other,IL,Single Adults,MEXICO,Title 8,164
2021,FYTD,OCT,Other,IL,Single Adults,OTHER,Title 8,73
2021,FYTD,OCT,Other,IL,Single Adults,PHILIPPINES,Title 8,9
2021,FYTD,OCT,Other,IL,Single Adults,ROMANIA,Title 8,5
2021,FYTD,OCT,Other,IL,Single Adults,RUSSIA,Title 8,2
2021,FYTD,OCT,Other,IL,Single Adults,TURKEY,Title 8,2
2021,FYTD,OCT,Other,IL,Single Adults,UKRAINE,Title 8,1
2021,FYTD,OCT,Other,IL,UC / Single Minors,MEXICO,Title 8,1
2021,FYTD,OCT,Other,IL,UC / Single Minors,OTHER,Title 8,1
2021,FYTD,OCT,Other,LA,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,791
2021,FYTD,OCT,Other,LA,Single Adults,GUATEMALA,Title 8,2
2021,FYTD,OCT,Other,LA,Single Adults,HONDURAS,Title 8,8
2021,FYTD,OCT,Other,LA,Single Adults,INDIA,Title 8,149
2021,FYTD,OCT,Other,LA,Single Adults,MEXICO,Title 8,20
2021,FYTD,OCT,Other,LA,Single Adults,MYANMAR (BURMA),Title 8,80
2021,FYTD,OCT,Other,LA,Single Adults,OTHER,Title 8,218
2021,FYTD,OCT,Other,LA,Single Adults,PHILIPPINES,Title 8,867
2021,FYTD,OCT,Other,LA,Single Adults,ROMANIA,Title 8,11
2021,FYTD,OCT,Other,LA,Single Adults,RUSSIA,Title 8,44
2021,FYTD,OCT,Other,LA,Single Adults,TURKEY,Title 8,54
2021,FYTD,OCT,Other,LA,Single Adults,UKRAINE,Title 8,161
2021,FYTD,OCT,Other,MA,Single Adults,HAITI,Title 8,2
2021,FYTD,OCT,Other,MA,Single Adults,OTHER,Title 8,29
2021,FYTD,OCT,Other,MA,Single Adults,ROMANIA,Title 8,1
2021,FYTD,OCT,Other,MA,Single Adults,TURKEY,Title 8,1
2021,FYTD,OCT,Other,MD,Single Adults,BRAZIL,Title 8,1
2021,FYTD,OCT,Other,MD,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,35
2021,FYTD,OCT,Other,MD,Single Adults,INDIA,Title 8,5
2021,FYTD,OCT,Other,MD,Single Adults,MYANMAR (BURMA),Title 8,46
2021,FYTD,OCT,Other,MD,Single Adults,OTHER,Title 8,57
2021,FYTD,OCT,Other,MD,Single Adults,PHILIPPINES,Title 8,84
2021,FYTD,OCT,Other,MD,Single Adults,ROMANIA,Title 8,4
2021,FYTD,OCT,Other,MD,Single Adults,RUSSIA,Title 8,11
2021,FYTD,OCT,Other,MD,Single Adults,TURKEY,Title 8,3
2021,FYTD,OCT,Other,MD,Single Adults,UKRAINE,Title 8,41
2021,FYTD,OCT,Other,ME,Single Adults,OTHER,Title 8,5
2021,FYTD,OCT,Other,ME,Single Adults,PHILIPPINES,Title 8,15
2021,FYTD,OCT,Other,ME,Single Adults,ROMANIA,Title 8,2
2021,FYTD,OCT,Other,ME,Single Adults,RUSSIA,Title 8,1
2021,FYTD,OCT,Other,MI,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,1
2021,FYTD,OCT,Other,MI,Single Adults,GUATEMALA,Title 8,1
2021,FYTD,OCT,Other,MI,Single Adults,MEXICO,Title 8,13
2021,FYTD,OCT,Other,MI,Single Adults,OTHER,Title 8,14
2021,FYTD,OCT,Other,MI,Single Adults,PHILIPPINES,Title 8,1
2021,FYTD,OCT,Other,MN,Single Adults,ECUADOR,Title 8,1
2021,FYTD,OCT,Other,MN,Single Adults,OTHER,Title 8,1
2021,FYTD,OCT,Other,MN,Single Adults,PHILIPPINES,Title 8,8
2021,FYTD,OCT,Other,MN,Single Adults,ROMANIA,Title 8,1
2021,FYTD,OCT,Other,MN,Single Adults,RUSSIA,Title 8,18
2021,FYTD,OCT,Other,MN,Single Adults,UKRAINE,Title 8,5
2021,FYTD,OCT,Other,MP,Single Adults,PHILIPPINES,Title 8,14
2021,FYTD,OCT,Other,MS,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,28
2021,FYTD,OCT,Other,MS,Single Adults,INDIA,Title 8,7
2021,FYTD,OCT,Other,MS,Single Adults,MEXICO,Title 8,1
2021,FYTD,OCT,Other,MS,Single Adults,OTHER,Title 8,8
2021,FYTD,OCT,Other,MS,Single Adults,PHILIPPINES,Title 8,35
2021,FYTD,OCT,Other,MS,Single Adults,RUSSIA,Title 8,6
2021,FYTD,OCT,Other,MS,Single Adults,UKRAINE,Title 8,6
2021,FYTD,OCT,Other,NC,Single Adults,GUATEMALA,Title 8,1
2021,FYTD,OCT,Other,NC,Single Adults,INDIA,Title 8,18
2021,FYTD,OCT,Other,NC,Single Adults,NICARAGUA,Title 8,1
2021,FYTD,OCT,Other,NC,Single Adults,OTHER,Title 8,9
2021,FYTD,OCT,Other,NC,Single Adults,PHILIPPINES,Title 8,2
2021,FYTD,OCT,Other,NC,Single Adults,RUSSIA,Title 8,1
2021,FYTD,OCT,Other,NJ,Single Adults,CANADA,Title 8,2
2021,FYTD,OCT,Other,NJ,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,118
2021,FYTD,OCT,Other,NJ,Single Adults,COLOMBIA,Title 8,3
2021,FYTD,OCT,Other,NJ,Single Adults,EL SALVADOR,Title 8,1
